ID,Tree,,,,,
1,Clothes,,,,,
21,,Coats,,,,
22,,,Parkas,,,
23,,,Trench Coats,,,
24,,,Cashmere Coats,,,
25,,,Suede coat,,,
26,,,Shearling Coat,,,
27,,,Microfiber Coat,,,
28,,,Wool coats,,,
29,,,Puffer coats,,,
30,,,Short Coats,,,
31,,dresses,,,,
32,,,sport dresses,,,
33,,,,tennis dresses,,
34,,,,dance dresses,,
35,,,Knitted Dresses,,,
36,,,Jersey Dresses,,,
37,,,Summer Dresses,,,
38,,,Dirndl & Costumes,,,
39,,,Bridal Dresses,,,
40,,,Maxi Dresses,,,
41,,,Cocktail Dresses,,,
42,,,Maternity dresses,,,
43,,,Baby Doll,,,
44,,,Formal & Special Occasions,,,
45,,,Jumpers,,,
46,,,Shifts,,,
47,,,Shirtdresses,,,
48,,,Sundresses,,,
49,,,Sweater Dresses,,,
50,,,Tank,,,
51,,,Wrap,,,
52,,,Day-dresses,,,
2,,bibs,,,,
3,,,sport bibs,,,
4,,,,Snowboarding bibs,,
5,,,,Bicycle bibs,,
6,,jerseys,,,,
7,,,sport jerseys,,,
8,,,,basketball jerseys,,
9,,,,bowling jerseys,,
10,,,,climbing jerseys,,
11,,,,football jerseys,,
12,,,,golf jerseys,,
13,,,,running jerseys,,
14,,,,voley ball jerseys,,
15,,,,Bicycle jerseys,,
56,,jackets,,,,
57,,,sport jackets,,,
58,,,,boxing jackets,,
59,,,,cycling jackets,,
60,,,,football jackets,,
61,,,,golf jackets,,
62,,,,hiking jackets,,
63,,,,running jackets,,
64,,,,skateboarding jackets,,
65,,,,Snowboarding jackets,,
66,,,,soccer jackets,,
67,,,,tennis jackets,,
68,,,,Motorcycle Jackets,,
69,,,,golf jackets,,
70,,,Puffers,,,
71,,,Rain & Outdoor Jackets,,,
72,,,Capes,,,
73,,,Blazers,,,
74,,,Athletic Jackets,,,
75,,,Fleece Jackets,,,
76,,,Gilets & Waistcoats,,,
77,,,Lightweight Jackets,,,
78,,,Down Jackets,,,
79,,,Denim Jackets,,,
80,,,Winter Jackets,,,
81,,,Sport Jackets,,,
82,,,Maternity Jackets,,,
83,,,Motorcycle Jackets,,,
84,,,Suede Jackets,,,
85,,,Leather Jacket,,,
86,,,Shearling Jacket,,,
87,,,Microfiber Jacket,,,
16,,skin suits,,,,
17,,,sport skin suits,,,
18,,,,Bicycle skin suits,,
19,,blazers,,,,
20,,cardigan,,,,
53,,hoodies,,,,
54,,,sport hoodies,,,
55,,,,skiing hoodies,,
88,,Pantyhose,,,,
89,,,Maternity Pantyhose,,,
90,,Panties,,,,
91,,,Maternity Panties,,,
92,,Outfits & Sets,,,,
93,,,Maternity outfits & sets,,,
94,,skorts,,,,
95,,Pants,,,,
96,,,sport pants,,,
97,,,,track pants,,
98,,,,golf pants,,
99,,,,rock climbing pants,,
100,,,,yoga pants,,
101,,,,cycling pants,,
102,,,,football pants,,
103,,,,hiking pants,,
104,,,,Ice hokey pants,,
105,,,,skateboarding pants,,
106,,,,Snowboarding pants,,
107,,,,soccer pants,,
108,,,,tennis pants,,
109,,,,Hunting & Tactical Pants,,
110,,,,Motorcycle Pants,,
111,,,Business Pants,,,
112,,,Casual pants,,,
113,,,Joggers,,,
114,,,Rain pants,,,
115,,,Maternity pants,,,
116,,,Cargo-pants,,,
117,,,Carpenter,,,
118,,,Corduroy,,,
119,,,Chinos-and-khakis,,,
120,,,Dress & Formal,,,
121,,,Overalls,,,
122,,,Cropped Pants,,,
123,,,Knits,,,
124,,,Wide-leg pants,,,
125,,,Corduroys,,,
126,,,Overalls pants,,,
127,,jeans,,,,
128,,,Bootcut-jeans,,,
129,,,Cropped-jeans,,,
130,,,Distressed-jeans,,,
131,,,Flare-jeans,,,
132,,,Maternity jeans,,,
133,,,Relaxed-jeans,,,
134,,,Skinny-jeans,,,
135,,,Stretch-jeans,,,
136,,,Slim Jeans,,,
137,,,Straight leg jeans,,,
138,,Jumpsuits,,,,
139,,Rompers,,,,
140,,jumpers,,,,
141,,,Fleece jumpers,,,
142,,Leggings,,,,
143,,shirts,,,,
144,,,sport shirts,,,
145,,,,boxing shirts,,
146,,,,hiking shirts,,
147,,,,cycling shirts,,
148,,,,Ice hokey shirts,,
149,,,,tennis shirts,,
150,,,,basketball shirts,,
151,,,,bowling shirts,,
152,,,,Fitness & Exercise shirts,,
153,,,,golf shirts,,
154,,,,soccer shirts,,
155,,,T-shirts,,,
156,,,,sport t-shirts,,
157,,,,,skiing t shirts,
158,,,,Print T-Shirts,,
159,,,,Pattern T-Shirt,,
160,,,,Uni T-Shirts,,
161,,,longsleeve-shirts,,,
162,,,shortsleeve-shirts,,,
163,,,Button-Downs & Oxfords,,,
164,,,Dress Shirts,,,
165,,,Henley & Rugby Shirts,,,
166,,,Polos,,,
167,,,Button down shirts,,,
168,,,Turtlenecks,,,
169,,,Casual shirts,,,
170,,shorts,,,,
171,,,sport shorts,,,
172,,,,basketball shorts,,
173,,,,bowling shorts,,
174,,,,cycling shorts,,
175,,,,football shorts,,
176,,,,hiking shorts,,
177,,,,Ice hokey shorts,,
178,,,,running shorts,,
179,,,,skateboarding shorts,,
180,,,,skiing shorts,,
181,,,,tennis shorts,,
182,,,,voleyball shorts,,
183,,,,Boxing Shorts,,
184,,,,Bicycle shorts,,
185,,,,Martial Arts Shorts,,
186,,,,golf shorts,,
187,,,,climbing shorts,,
188,,,,soccer shorts,,
189,,,,running shorts,,
