EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	15:30:04	0	0.1000	5.531106836390945	2.8252665996551514	0.6768	0.5164	0.5858
1	15:32:48	0	0.1000	3.399202586719825	2.4647839069366455	0.7343	0.5944	0.657
2	15:35:35	0	0.1000	3.1458845348478115	2.4116790294647217	0.6889	0.6895	0.6892
3	15:38:21	0	0.1000	2.9758562231963537	2.26320743560791	0.6651	0.6645	0.6648
4	15:41:06	0	0.1000	2.769734523581259	2.214813470840454	0.7404	0.574	0.6467
5	15:43:55	0	0.1000	2.6736643351848772	1.9341517686843872	0.7452	0.7415	0.7433
6	15:46:41	0	0.1000	2.470736674542697	1.7699137926101685	0.7718	0.7105	0.7399
7	15:49:31	0	0.1000	2.4030066631125204	1.94914710521698	0.708	0.7127	0.7103
8	15:52:17	0	0.1000	2.277815486650047	1.674999475479126	0.7673	0.7759	0.7716
9	15:55:04	0	0.1000	2.204653229353563	1.5716155767440796	0.7902	0.7346	0.7614
10	15:58:00	0	0.1000	2.0875219961382308	1.57121741771698	0.7967	0.7152	0.7538
11	16:00:47	0	0.1000	2.0289837594302194	1.5074536800384521	0.7791	0.7847	0.7819
12	16:03:39	0	0.1000	2.0400387191172666	1.412627100944519	0.8097	0.775	0.792
13	16:06:27	1	0.1000	1.9331125560796485	1.391924500465393	0.8316	0.7696	0.7994
14	16:09:13	0	0.1000	1.8964556114478681	1.3548924922943115	0.8027	0.8138	0.8082
15	16:12:02	0	0.1000	1.810590959195071	1.2866055965423584	0.8248	0.7856	0.8047
16	16:14:50	0	0.1000	1.7810779052710384	1.3316419124603271	0.8345	0.7515	0.7908
17	16:17:41	0	0.1000	1.7705138097019315	1.2416366338729858	0.8155	0.8232	0.8193
18	16:20:34	0	0.1000	1.705835904715196	1.2485765218734741	0.8263	0.7994	0.8126
19	16:23:24	0	0.1000	1.675286705014091	1.2278472185134888	0.8168	0.7966	0.8066
20	16:26:15	0	0.1000	1.6874301932142965	1.2658730745315552	0.8091	0.8144	0.8117
21	16:29:05	1	0.1000	1.6043597594747003	1.214030385017395	0.799	0.7975	0.7982
22	16:31:53	0	0.1000	1.6590504706280786	1.1193387508392334	0.8303	0.8194	0.8248
23	16:34:42	1	0.1000	1.5250765891195093	1.2503235340118408	0.7805	0.7869	0.7837
24	16:37:31	0	0.1000	1.5548304443089467	1.0633355379104614	0.8435	0.8347	0.8391
25	16:40:24	1	0.1000	1.539052483420702	1.1392065286636353	0.8241	0.8329	0.8285
26	16:43:14	2	0.1000	1.4805282781708915	1.0471054315567017	0.8426	0.8313	0.8369
27	16:46:05	0	0.1000	1.4840241022079996	1.1986439228057861	0.8225	0.8354	0.8289
28	16:48:55	1	0.1000	1.439724677013901	1.0372563600540161	0.8477	0.8413	0.8445
29	16:51:44	0	0.1000	1.4570072068358368	1.0777904987335205	0.8505	0.821	0.8355
30	16:54:37	1	0.1000	1.4195280937278796	1.0896273851394653	0.8379	0.8219	0.8298
31	16:57:28	0	0.1000	1.3998881008640025	1.022922158241272	0.8467	0.8366	0.8416
32	17:00:18	0	0.1000	1.3930602163638708	1.0215352773666382	0.837	0.8391	0.838
33	17:03:09	0	0.1000	1.3800828025775886	1.0187419652938843	0.8549	0.8222	0.8382
34	17:05:59	0	0.1000	1.3798477874611907	0.9895497560501099	0.8504	0.8432	0.8468
35	17:08:47	0	0.1000	1.3280370659048453	1.0519276857376099	0.8309	0.8275	0.8292
36	17:11:44	0	0.1000	1.3658151386668846	0.9975389838218689	0.838	0.8291	0.8335
37	17:14:35	1	0.1000	1.3583112801395871	1.0189449787139893	0.841	0.826	0.8334
38	17:17:24	2	0.1000	1.3190718285692562	0.943629801273346	0.8613	0.8454	0.8533
39	17:20:18	0	0.1000	1.3025852363064605	1.006411075592041	0.8549	0.8282	0.8413
40	17:23:08	0	0.1000	1.2733955885629233	1.0743597745895386	0.8534	0.8128	0.8326
41	17:26:01	0	0.1000	1.3129013877994609	1.0363174676895142	0.8374	0.8401	0.8387
42	17:28:57	1	0.1000	1.2691549036487844	0.9652862548828125	0.853	0.8369	0.8449
43	17:31:51	0	0.1000	1.2361502205050967	0.9288306832313538	0.8597	0.8516	0.8556
44	17:34:43	0	0.1000	1.238250933728128	0.9627973437309265	0.8616	0.8495	0.8555
45	17:37:37	1	0.1000	1.2599243664141722	0.9552803635597229	0.8443	0.8404	0.8423
46	17:40:36	2	0.1000	1.2325344374344784	0.992254376411438	0.8432	0.8532	0.8482
47	17:43:27	0	0.1000	1.2141632767593336	0.9348600506782532	0.8544	0.8538	0.8541
48	17:46:19	0	0.1000	1.2027133107185364	0.9502790570259094	0.8594	0.8401	0.8496
49	17:49:09	0	0.1000	1.2013639721480556	0.9077596068382263	0.8571	0.8601	0.8586
50	17:52:04	0	0.1000	1.216337040535309	1.226127028465271	0.7781	0.7947	0.7863
51	17:54:57	1	0.1000	1.2070914364460879	0.8967215418815613	0.8685	0.8576	0.863
52	17:57:50	2	0.1000	1.1846983129123472	0.905322790145874	0.8627	0.8635	0.8631
53	18:00:46	0	0.1000	1.1854107537359562	0.9167603850364685	0.8666	0.8704	0.8685
54	18:03:44	1	0.1000	1.141493539765196	0.8869054317474365	0.8651	0.861	0.863
55	18:06:38	0	0.1000	1.2046050485574975	0.9068576097488403	0.8566	0.8635	0.86
56	18:09:35	1	0.1000	1.139691509165854	0.9334135055541992	0.8532	0.8623	0.8577
57	18:12:32	0	0.1000	1.1647926876380008	0.8873984813690186	0.866	0.8638	0.8649
58	18:15:27	1	0.1000	1.1295342205455468	0.8788459897041321	0.8645	0.8704	0.8674
59	18:18:22	0	0.1000	1.122286542406622	0.8504875898361206	0.8683	0.871	0.8696
60	18:21:17	0	0.1000	1.1027467374531728	0.9210811853408813	0.8563	0.8726	0.8644
61	18:24:20	0	0.1000	1.1050151683999307	0.9506018161773682	0.846	0.8617	0.8538
62	18:27:14	1	0.1000	1.1346893876603565	0.8720086216926575	0.8659	0.8629	0.8644
63	18:30:10	2	0.1000	1.1458375952528708	0.8716315031051636	0.8665	0.8757	0.8711
64	18:33:02	3	0.1000	1.0867793432571604	0.8309858441352844	0.8753	0.8679	0.8716
65	18:35:59	0	0.1000	1.0879137283601101	0.8846917748451233	0.8599	0.8585	0.8592
66	18:38:57	1	0.1000	1.034170887755148	0.9769059419631958	0.8316	0.8407	0.8361
67	18:41:53	0	0.1000	1.0748214894120798	0.9403284788131714	0.8392	0.8476	0.8434
68	18:44:46	1	0.1000	1.0535758306395333	0.8309003710746765	0.8752	0.8736	0.8744
69	18:47:41	2	0.1000	1.0372800006056733	1.0126025676727295	0.8199	0.8307	0.8253
70	18:50:36	3	0.1000	1.0506353509501092	0.9337905645370483	0.8524	0.8516	0.852
71	18:53:31	0	0.0500	1.0225387313081034	0.8418235182762146	0.8728	0.8717	0.8722
72	18:56:27	0	0.0500	0.9968101266045241	0.8457127809524536	0.8747	0.8739	0.8743
73	18:59:21	0	0.0500	0.9822115658214258	0.8389943838119507	0.8692	0.8754	0.8723
74	19:02:22	0	0.0500	0.9680650946479173	0.8102027773857117	0.8758	0.8764	0.8761
75	19:05:22	0	0.0500	0.9580685421355866	0.818340003490448	0.874	0.8748	0.8744
76	19:08:19	0	0.0500	0.9472495759808043	0.8940004706382751	0.86	0.8745	0.8672
77	19:11:15	0	0.0500	0.9368796521012888	0.8358072638511658	0.8698	0.8764	0.8731
78	19:14:10	0	0.0500	0.9405640206247006	0.8016062378883362	0.8743	0.8776	0.8759
79	19:17:08	1	0.0500	0.9334903929218556	0.8215969800949097	0.8737	0.8792	0.8764
80	19:20:06	0	0.0500	0.9383040846518751	0.8360545635223389	0.8689	0.8736	0.8712
81	19:23:06	1	0.0500	0.9354619925501961	0.8121166229248047	0.8765	0.8798	0.8781
82	19:26:02	2	0.0500	0.9140383518716824	0.872424304485321	0.8658	0.8786	0.8722
83	19:28:58	0	0.0500	0.9404032620244056	0.8532851338386536	0.8627	0.8695	0.8661
84	19:31:55	1	0.0500	0.9241619012640707	0.8221410512924194	0.8753	0.8745	0.8749
85	19:34:54	2	0.0500	0.8940147243955601	0.8054347634315491	0.88	0.8814	0.8807
86	19:37:51	0	0.0500	0.9112947605690866	0.8153749704360962	0.8787	0.8864	0.8825
87	19:40:49	1	0.0500	0.9105377613373522	0.8411986827850342	0.8769	0.8808	0.8788
88	19:43:45	2	0.0500	0.8831289972899095	0.8357151746749878	0.8732	0.8792	0.8762
89	19:46:42	0	0.0500	0.9164741687804648	0.828782320022583	0.8771	0.8826	0.8798
90	19:49:42	1	0.0500	0.9635416925328333	0.7981263399124146	0.8776	0.8798	0.8787
91	19:52:41	2	0.0500	0.9162338368547788	0.8191116452217102	0.8759	0.8858	0.8808
92	19:55:37	3	0.0500	0.9146925986937757	0.8109074234962463	0.8753	0.8851	0.8802
93	19:58:36	0	0.0250	0.8978795814064314	0.8098282217979431	0.8755	0.8804	0.8779
94	20:01:36	1	0.0250	0.8862941936127045	0.7975091338157654	0.879	0.8845	0.8817
95	20:04:35	2	0.0250	0.9413041091939938	0.8217018246650696	0.8738	0.8798	0.8768
96	20:07:37	3	0.0250	0.8349735643128929	0.7927129864692688	0.8786	0.8836	0.8811
97	20:10:35	0	0.0250	0.8402328528698135	0.8125091791152954	0.8761	0.8829	0.8795
98	20:13:37	1	0.0250	0.8809458590903372	0.7933253049850464	0.8808	0.8808	0.8808
99	20:16:33	2	0.0250	0.8815986536583811	0.8072267770767212	0.8805	0.8858	0.8831
100	20:19:32	3	0.0250	0.8823955977487864	0.7950719594955444	0.8812	0.8867	0.8839
101	20:22:33	0	0.0125	0.8200743708220668	0.8060983419418335	0.8805	0.8854	0.8829
102	20:25:32	0	0.0125	0.8567659187616792	0.8071730136871338	0.8781	0.8839	0.881
103	20:28:36	1	0.0125	0.825086273112387	0.8016161322593689	0.8798	0.8845	0.8821
104	20:31:32	2	0.0125	0.8787054097127615	0.8111361265182495	0.878	0.8854	0.8817
105	20:34:35	3	0.0125	0.878109133843356	0.8152424693107605	0.8778	0.8854	0.8816
106	20:37:35	0	0.0063	0.8201521046506534	0.805737316608429	0.8787	0.8845	0.8816
107	20:40:38	1	0.0063	0.8410129033544529	0.8138182163238525	0.8791	0.8829	0.881
108	20:43:41	2	0.0063	0.8488886090194654	0.8140772581100464	0.8776	0.8845	0.881
109	20:46:41	3	0.0063	0.8565671860047106	0.8126052618026733	0.8776	0.8842	0.8809
110	20:49:44	0	0.0031	0.8151961686851094	0.8084211349487305	0.8778	0.8839	0.8808
111	20:52:44	0	0.0031	0.8343433012377541	0.8090220093727112	0.8784	0.8842	0.8813
112	20:55:47	1	0.0031	0.8488924874449676	0.8082410097122192	0.8776	0.8842	0.8809
113	20:58:55	2	0.0031	0.8372053852621114	0.8065159320831299	0.8775	0.8833	0.8804
114	21:01:57	3	0.0031	0.8627370824603915	0.808757483959198	0.8776	0.8839	0.8807
115	21:04:58	0	0.0016	0.821690872780182	0.8032715916633606	0.879	0.8848	0.8819
116	21:08:03	1	0.0016	0.8402047468431341	0.8071333169937134	0.8776	0.8839	0.8807
117	21:11:04	2	0.0016	0.847515972530317	0.8051922917366028	0.8775	0.8836	0.8805
118	21:14:06	3	0.0016	0.8318554796512772	0.8091592192649841	0.8776	0.8839	0.8807
119	21:17:09	0	0.0008	0.826882409974464	0.8076299428939819	0.877	0.8836	0.8803
120	21:20:12	1	0.0008	0.8586287382263807	0.8065631985664368	0.8775	0.8833	0.8804
121	21:23:15	2	0.0008	0.8244982999075884	0.8076248168945312	0.8775	0.8833	0.8804
122	21:26:19	3	0.0008	0.8131582542035565	0.8075636625289917	0.8772	0.8829	0.88
123	21:29:21	0	0.0008	0.8711141212931219	0.809544563293457	0.8769	0.8833	0.8801
124	21:32:21	1	0.0008	0.8188702018006043	0.8085525035858154	0.8769	0.8833	0.8801
125	21:35:29	2	0.0008	0.8641710030207844	0.8072795867919922	0.8769	0.8829	0.8799
126	21:38:29	3	0.0008	0.8291832324843736	0.8084232807159424	0.877	0.8836	0.8803
127	21:41:31	0	0.0004	0.8294436541743249	0.8077988028526306	0.8766	0.8829	0.8797
128	21:44:36	1	0.0004	0.8210998743585071	0.8072978258132935	0.8772	0.8833	0.8802
129	21:47:35	2	0.0004	0.7877738243378933	0.8075568675994873	0.8766	0.8829	0.8797
130	21:50:39	0	0.0004	0.8166035946060277	0.8069652318954468	0.8772	0.8833	0.8802
131	21:53:48	1	0.0004	0.8086846294642994	0.8080856800079346	0.8766	0.8829	0.8797
132	21:56:53	2	0.0004	0.8305219752983477	0.80766761302948	0.8775	0.8833	0.8804
133	21:59:54	3	0.0004	0.8337586784512742	0.8073260188102722	0.8772	0.8833	0.8802
134	22:02:58	0	0.0002	0.8283918820462137	0.8071582317352295	0.8772	0.8833	0.8802
135	22:06:05	1	0.0002	0.8030756532021288	0.8072575330734253	0.8775	0.8836	0.8805
136	22:09:11	2	0.0002	0.8825730321542272	0.8073694109916687	0.8772	0.8833	0.8802
137	22:12:16	3	0.0002	0.8185987551257295	0.8071424961090088	0.8778	0.8839	0.8808
