EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	07:38:57	0	0.1000	0.7648629370060834	0.9198189377784729	0.8773	0.8839	0.8806
1	07:41:34	0	0.1000	0.7461544737949238	1.0151562690734863	0.8596	0.8754	0.8674
2	07:44:14	0	0.1000	0.8015502916349397	0.9559909105300903	0.8699	0.8689	0.8694
3	07:46:52	1	0.1000	0.7759579857746204	0.9698539972305298	0.873	0.8801	0.8765
4	07:49:28	2	0.1000	0.7634086900657707	1.015775203704834	0.8708	0.8779	0.8743
5	07:52:05	3	0.1000	0.6949730236213524	1.0023517608642578	0.8602	0.8745	0.8673
6	07:54:45	0	0.1000	0.7065729594730831	1.0163817405700684	0.8699	0.8745	0.8722
7	07:57:26	1	0.1000	0.7434157674962824	1.0095514059066772	0.8702	0.871	0.8706
8	08:00:05	2	0.1000	0.7824608541868784	1.056301236152649	0.8695	0.882	0.8757
9	08:02:45	3	0.1000	0.7197794360922767	1.070237636566162	0.8642	0.8664	0.8653
10	08:05:24	0	0.0500	0.6675367809675791	1.0526632070541382	0.869	0.8761	0.8725
11	08:08:07	0	0.0500	0.6790839473267535	1.0437941551208496	0.8738	0.882	0.8779
12	08:10:46	1	0.0500	0.6844508124815001	1.0547049045562744	0.8702	0.8789	0.8745
13	08:13:25	2	0.0500	0.6318659442704875	1.1197155714035034	0.862	0.8682	0.8651
14	08:16:06	0	0.0500	0.6610188171580121	1.0426145792007446	0.8733	0.8823	0.8778
15	08:18:44	1	0.0500	0.6332344927571036	1.0335431098937988	0.8764	0.8836	0.88
16	08:21:24	2	0.0500	0.6424284077190853	1.0436526536941528	0.8745	0.8808	0.8776
17	08:24:01	3	0.0500	0.656876013829158	1.0555784702301025	0.8749	0.8842	0.8795
18	08:26:41	0	0.0250	0.6143160433202357	1.0641263723373413	0.8768	0.8867	0.8817
19	08:29:21	0	0.0250	0.6133843907838935	1.07059645652771	0.8749	0.8823	0.8786
20	08:32:03	0	0.0250	0.6064441883480632	1.0744762420654297	0.8768	0.8845	0.8806
21	08:34:45	0	0.0250	0.6375028557710715	1.0738316774368286	0.8753	0.8833	0.8793
22	08:37:28	1	0.0250	0.6066009260557749	1.0779889822006226	0.8756	0.8833	0.8794
23	08:40:10	2	0.0250	0.5758029668481199	1.075150966644287	0.8755	0.8845	0.88
24	08:42:50	0	0.0250	0.6011657564790098	1.0524559020996094	0.8776	0.8864	0.882
25	08:45:32	1	0.0250	0.6001789903307294	1.0811232328414917	0.8722	0.8823	0.8772
26	08:48:14	2	0.0250	0.5986085559104706	1.0791219472885132	0.8776	0.8861	0.8818
27	08:50:55	3	0.0250	0.5864570936956606	1.075879693031311	0.8784	0.8864	0.8824
28	08:53:40	0	0.0125	0.5948365286930458	1.0854041576385498	0.8771	0.887	0.882
29	08:56:26	1	0.0125	0.611257137952151	1.0699042081832886	0.8773	0.8864	0.8818
30	08:59:09	2	0.0125	0.5933791134324107	1.0775538682937622	0.876	0.8842	0.8801
31	09:01:49	3	0.0125	0.5575888833174338	1.0674861669540405	0.8773	0.8864	0.8818
