EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	15:09:22	0	0.1000	0.6555484202943107	1.0620814561843872	0.8694	0.8833	0.8763
1	15:11:44	0	0.1000	0.6340183756610219	1.1264688968658447	0.8743	0.8795	0.8769
2	15:14:09	0	0.1000	0.6387539434340573	1.0996798276901245	0.8724	0.8776	0.875
3	15:16:35	1	0.1000	0.6450163384740667	1.130474328994751	0.8771	0.8826	0.8798
4	15:19:01	2	0.1000	0.5919289275888324	1.2665050029754639	0.8536	0.872	0.8627
5	15:21:26	0	0.1000	0.6376831889614578	1.1517260074615479	0.8696	0.8826	0.8761
6	15:23:51	1	0.1000	0.6563343334105588	1.1979862451553345	0.8535	0.8717	0.8625
7	15:26:18	2	0.1000	0.6186019087484641	1.1071778535842896	0.8773	0.8776	0.8774
8	15:28:45	3	0.1000	0.6427412984907165	1.144633412361145	0.8621	0.8748	0.8684
9	15:31:09	0	0.0500	0.6200396358504776	1.1651993989944458	0.8683	0.8808	0.8745
10	15:33:36	1	0.0500	0.5758239403367043	1.1360830068588257	0.874	0.8833	0.8786
11	15:36:08	0	0.0500	0.6120247110839963	1.1568347215652466	0.8706	0.8801	0.8753
12	15:38:34	1	0.0500	0.5596410738405331	1.1417535543441772	0.8741	0.8823	0.8782
13	15:41:02	0	0.0500	0.5438894694165666	1.1929911375045776	0.867	0.877	0.872
14	15:43:29	0	0.0500	0.5542478512308394	1.2203420400619507	0.8668	0.8757	0.8712
15	15:45:56	1	0.0500	0.5515423504881156	1.2335293292999268	0.862	0.872	0.867
16	15:48:24	2	0.0500	0.5526677331591184	1.1757252216339111	0.8741	0.8826	0.8783
17	15:50:50	3	0.0500	0.5620907327925512	1.2120860815048218	0.8673	0.8779	0.8726
18	15:53:16	0	0.0250	0.5377560382665589	1.200860619544983	0.8711	0.8798	0.8754
19	15:55:42	0	0.0250	0.5166511514274649	1.2094111442565918	0.874	0.8814	0.8777
20	15:58:10	0	0.0250	0.5187965287256611	1.2548872232437134	0.8668	0.8761	0.8714
21	16:00:39	1	0.0250	0.47859166897544564	1.2344582080841064	0.8685	0.8808	0.8746
22	16:03:07	0	0.0250	0.5340835411650265	1.263059139251709	0.8684	0.8801	0.8742
23	16:05:32	1	0.0250	0.5655122838279073	1.2312960624694824	0.8694	0.8814	0.8754
24	16:08:00	2	0.0250	0.5004148973050968	1.2175869941711426	0.8766	0.8848	0.8807
25	16:10:27	3	0.0250	0.538021153950876	1.217965841293335	0.8751	0.8836	0.8793
26	16:12:56	0	0.0125	0.5630554362784984	1.2360306978225708	0.8688	0.8786	0.8737
27	16:15:26	1	0.0125	0.5128650327985601	1.2324968576431274	0.8703	0.8801	0.8752
28	16:17:52	2	0.0125	0.5545723887896815	1.2376540899276733	0.8728	0.8804	0.8766
29	16:20:20	3	0.0125	0.5158454854358998	1.2305904626846313	0.8704	0.8808	0.8756
30	16:22:50	0	0.0063	0.5318632781967636	1.2367823123931885	0.8704	0.8808	0.8756
31	16:25:22	1	0.0063	0.5126666745474172	1.2237966060638428	0.871	0.8789	0.8749
32	16:27:52	2	0.0063	0.5158534379488275	1.2340011596679688	0.8708	0.8798	0.8753
33	16:30:19	3	0.0063	0.4685364497262378	1.2314928770065308	0.8711	0.8801	0.8756
34	16:32:50	0	0.0063	0.4924345196679581	1.2378575801849365	0.871	0.8789	0.8749
35	16:35:16	1	0.0063	0.5233452249058458	1.232914686203003	0.8723	0.8808	0.8765
36	16:37:47	2	0.0063	0.46229963697666343	1.2482914924621582	0.8721	0.8811	0.8766
37	16:40:17	0	0.0063	0.516403214760529	1.248175859451294	0.8724	0.8814	0.8769
38	16:42:45	1	0.0063	0.5170602291649165	1.2498596906661987	0.8723	0.8811	0.8767
39	16:45:13	2	0.0063	0.5081326171409252	1.2458847761154175	0.8704	0.8808	0.8756
40	16:47:41	3	0.0063	0.5193000110949195	1.2449977397918701	0.8712	0.8804	0.8758
41	16:50:12	0	0.0031	0.4977639065694439	1.2524322271347046	0.8714	0.8801	0.8757
42	16:52:40	1	0.0031	0.4690098899539358	1.2532083988189697	0.8717	0.8808	0.8762
43	16:55:07	2	0.0031	0.4828923212927441	1.2450621128082275	0.8717	0.8804	0.876
44	16:57:36	3	0.0031	0.4883692456308261	1.247665524482727	0.8726	0.8808	0.8767
45	17:00:04	0	0.0016	0.5058394605799239	1.2469044923782349	0.8729	0.8811	0.877
46	17:02:35	1	0.0016	0.5466927135175512	1.246698021888733	0.8723	0.8808	0.8765
47	17:05:03	2	0.0016	0.49832525895547497	1.2423820495605469	0.8723	0.8811	0.8767
48	17:07:35	3	0.0016	0.471636786017307	1.245657205581665	0.8714	0.8804	0.8759
49	17:10:03	0	0.0008	0.5059597347826921	1.243950605392456	0.8717	0.8808	0.8762
50	17:12:32	1	0.0008	0.5015574772228566	1.2437776327133179	0.8717	0.8804	0.876
51	17:15:02	2	0.0008	0.4934661973469941	1.2467628717422485	0.8708	0.8798	0.8753
52	17:17:29	3	0.0008	0.5440457033556562	1.2455674409866333	0.8712	0.8804	0.8758
53	17:20:01	0	0.0004	0.4899079618296882	1.2451797723770142	0.8712	0.8804	0.8758
54	17:22:29	1	0.0004	0.4712084744327752	1.2449815273284912	0.8712	0.8804	0.8758
55	17:24:57	2	0.0004	0.49187690805095113	1.245539903640747	0.8715	0.8808	0.8761
56	17:27:29	3	0.0004	0.5216924925298654	1.2459975481033325	0.8712	0.8804	0.8758
57	17:29:58	0	0.0002	0.44532274067863936	1.2460993528366089	0.8712	0.8804	0.8758
58	17:32:31	0	0.0002	0.5135642364043598	1.2461600303649902	0.8715	0.8808	0.8761
59	17:35:01	1	0.0002	0.4797729267630466	1.245932936668396	0.8715	0.8808	0.8761
60	17:37:30	2	0.0002	0.49336072577293527	1.2463171482086182	0.8712	0.8804	0.8758
61	17:40:00	3	0.0002	0.4916396489901136	1.2463561296463013	0.8712	0.8804	0.8758
