EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	21:40:31	0	0.1000	4.68610754702826	2.41552734375	0.7729	0.5562	0.6469
1	21:56:37	0	0.1000	2.8169719513107396	1.8641422986984253	0.8154	0.6801	0.7416
2	22:12:58	0	0.1000	2.448121058865913	1.966737151145935	0.7211	0.7987	0.7579
3	22:29:12	0	0.1000	2.2304907167482675	1.4852267503738403	0.8056	0.8147	0.8101
4	22:45:34	0	0.1000	2.0275411380911774	1.332332968711853	0.839	0.8172	0.828
5	23:01:56	0	0.1000	1.9136953113963768	1.3244874477386475	0.8164	0.8407	0.8284
6	23:18:06	0	0.1000	1.8459665302960377	1.370090126991272	0.8081	0.8582	0.8324
7	23:34:18	0	0.1000	1.6979975520439867	1.3218634128570557	0.809	0.8592	0.8333
8	23:50:29	0	0.1000	1.6770077186560481	1.1743929386138916	0.8544	0.8391	0.8467
9	00:06:51	0	0.1000	1.6140250496144564	1.1113567352294922	0.85	0.8529	0.8514
10	00:23:08	0	0.1000	1.5513278530828607	1.0555869340896606	0.8757	0.851	0.8632
11	00:39:35	0	0.1000	1.503030573047182	0.9650530219078064	0.8735	0.8642	0.8688
12	00:55:47	0	0.1000	1.4712293519164032	1.1278800964355469	0.83	0.8466	0.8382
13	01:12:07	0	0.1000	1.4419091036484677	1.1085916757583618	0.8398	0.8879	0.8632
14	01:28:31	0	0.1000	1.429523542617102	1.0203875303268433	0.8566	0.8751	0.8658
15	01:44:42	0	0.1000	1.3351318337632425	0.9752565622329712	0.8712	0.8513	0.8611
16	02:00:58	0	0.1000	1.350079373743549	0.9776588082313538	0.859	0.8886	0.8735
17	02:17:13	1	0.1000	1.2989368105084642	0.9319416880607605	0.87	0.8901	0.8799
18	02:33:24	0	0.1000	1.2760264536119856	0.8827794194221497	0.8842	0.8845	0.8843
19	02:49:46	0	0.1000	1.2615340502007202	0.8928031921386719	0.8857	0.8826	0.8841
20	03:05:52	0	0.1000	1.227893723256933	0.8333831429481506	0.8881	0.8845	0.8863
21	03:22:09	0	0.1000	1.2158138347121905	0.8384634852409363	0.8805	0.8898	0.8851
22	03:38:30	0	0.1000	1.1913883528619442	0.8525256514549255	0.8846	0.8801	0.8823
23	03:54:49	0	0.1000	1.1747212230034594	0.8314259648323059	0.8901	0.8795	0.8848
24	04:10:56	0	0.1000	1.1548304542805414	0.8305630087852478	0.8785	0.8873	0.8829
25	04:27:08	0	0.1000	1.149832584198166	0.8190737366676331	0.8927	0.8883	0.8905
26	04:43:30	0	0.1000	1.1506618103891049	0.8466655015945435	0.8905	0.8808	0.8856
27	05:00:10	1	0.1000	1.1165883938471477	0.8370656967163086	0.8974	0.8817	0.8895
