EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	21:53:20	0	0.1000	0.486593691827534	0.8499265313148499	0.9105	0.9136	0.912
1	22:08:53	0	0.1000	0.4878523820763701	0.8818028569221497	0.9093	0.9189	0.9141
2	22:24:10	1	0.1000	0.4849707519674635	0.888908326625824	0.9039	0.918	0.9109
3	22:39:46	0	0.1000	0.4585746293301349	0.8661072254180908	0.9056	0.9127	0.9091
4	22:55:22	0	0.1000	0.49808855198480034	0.8703469038009644	0.9112	0.9252	0.9181
5	23:10:55	1	0.1000	0.4759943984396808	0.8549767136573792	0.9111	0.9142	0.9126
6	23:26:35	2	0.1000	0.48996321909077517	0.9482232332229614	0.9006	0.9102	0.9054
7	23:41:58	3	0.1000	0.47580366784876044	0.8771135807037354	0.9101	0.9189	0.9145
8	23:57:34	0	0.0500	0.4601699359767087	0.8557378649711609	0.9132	0.9189	0.916
9	00:12:57	1	0.0500	0.5077398248485752	0.8883274793624878	0.9091	0.9205	0.9148
10	00:28:27	2	0.0500	0.4472358376829774	0.8756946921348572	0.9106	0.918	0.9143
11	00:44:03	0	0.0500	0.4515003580730278	0.907670259475708	0.9076	0.9164	0.912
12	00:59:25	1	0.0500	0.4684542244547731	0.9053458571434021	0.905	0.9183	0.9116
13	01:15:05	2	0.0500	0.42499429518943066	0.9002143740653992	0.9108	0.9136	0.9122
14	01:30:31	0	0.0500	0.4353581666946411	0.8887453675270081	0.907	0.9161	0.9115
15	01:45:56	1	0.0500	0.45186415950318315	0.8938663601875305	0.9065	0.9161	0.9113
16	02:01:38	2	0.0500	0.42774821578205885	0.9101533889770508	0.9041	0.9142	0.9091
17	02:17:13	3	0.0500	0.4109246429655102	0.8850366473197937	0.9091	0.9139	0.9115
18	02:32:34	0	0.0500	0.43133462600774697	0.9157103896141052	0.9092	0.9152	0.9122
19	02:48:00	1	0.0500	0.4210656610402194	0.8954789042472839	0.9073	0.9099	0.9086
20	03:03:36	2	0.0500	0.4260484181292407	0.9062131643295288	0.911	0.9189	0.9149
21	03:19:02	3	0.0500	0.4394869858568365	0.9186762571334839	0.9082	0.9196	0.9139
22	03:34:26	0	0.0250	0.3878777358498607	0.9153792262077332	0.9089	0.9183	0.9136
23	03:49:43	0	0.0250	0.4182498811425029	0.918607771396637	0.9086	0.9174	0.913
24	04:05:16	1	0.0250	0.35886523856983316	0.9175713062286377	0.9127	0.9189	0.9158
25	04:20:45	0	0.0250	0.4116208594995779	0.9257987141609192	0.9083	0.9174	0.9128
26	04:36:13	1	0.0250	0.37133800056014027	0.932881772518158	0.9083	0.9149	0.9116
27	04:51:43	2	0.0250	0.39498301736124747	0.9394547939300537	0.9089	0.9152	0.912
28	05:07:25	3	0.0250	0.41886840750287463	0.9152101278305054	0.9099	0.9171	0.9135
29	05:22:58	0	0.0125	0.39232736492490433	0.9202307462692261	0.9092	0.9155	0.9123
30	05:38:14	1	0.0125	0.3884260706551425	0.9263471364974976	0.9102	0.9171	0.9136
31	05:53:40	2	0.0125	0.40032773980727565	0.9282408356666565	0.9093	0.9158	0.9125
32	06:09:12	3	0.0125	0.38273163025195783	0.9244927763938904	0.9093	0.9167	0.913
33	06:24:29	0	0.0063	0.38521603229162577	0.925759494304657	0.9101	0.9161	0.9131
34	06:39:54	1	0.0063	0.38220467361120075	0.9300835728645325	0.9088	0.9167	0.9127
35	06:55:20	2	0.0063	0.3700322462962224	0.9288899302482605	0.9111	0.9171	0.9141
36	07:10:42	3	0.0063	0.3927726778950725	0.9307844042778015	0.9099	0.9171	0.9135
37	07:26:03	0	0.0031	0.3657951617574358	0.930550217628479	0.9102	0.9174	0.9138
38	07:41:35	1	0.0031	0.38066928020932456	0.9307687878608704	0.9102	0.9174	0.9138
39	07:57:04	2	0.0031	0.3462828339396657	0.9328977465629578	0.9099	0.9167	0.9133
40	08:12:34	0	0.0031	0.3671326785628404	0.9326759576797485	0.9099	0.9167	0.9133
41	08:28:04	1	0.0031	0.40301059827312724	0.9354732632637024	0.9093	0.9167	0.913
42	08:43:26	2	0.0031	0.37127706200092825	0.9354597926139832	0.9102	0.9174	0.9138
43	08:58:52	3	0.0031	0.32885102083632994	0.9346558451652527	0.9099	0.9171	0.9135
44	09:14:27	0	0.0031	0.3801897514116514	0.935757040977478	0.9102	0.9171	0.9136
