EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	15:46:58	0	0.1000	1.214172087349258	1.313015341758728	0.8034	0.8363	0.8195
1	15:48:04	0	0.1000	1.2288932575212492	1.2379175424575806	0.8299	0.8488	0.8392
2	15:49:11	1	0.1000	1.2624850769143003	1.4653666019439697	0.7852	0.8169	0.8007
3	15:50:16	2	0.1000	1.2492488097477625	1.4569936990737915	0.7904	0.8285	0.809
4	15:51:22	3	0.1000	1.2200746961406894	1.4592559337615967	0.8004	0.846	0.8226
5	15:52:27	0	0.0500	1.1473602160707221	1.3168717622756958	0.8224	0.8479	0.835
6	15:53:34	0	0.0500	1.1686368959767002	1.3735562562942505	0.811	0.8407	0.8256
7	15:54:39	1	0.0500	1.1660533801659003	1.3965524435043335	0.8148	0.8426	0.8285
8	15:55:45	2	0.0500	1.1054623685516678	1.4052679538726807	0.8111	0.8413	0.8259
9	15:56:50	0	0.0500	1.143185756006441	1.3439704179763794	0.8206	0.8432	0.8317
10	15:57:56	1	0.0500	1.1140239549266708	1.416176676750183	0.8093	0.841	0.8248
11	15:59:02	2	0.0500	1.1086068753595952	1.485485315322876	0.7971	0.8313	0.8138
12	16:00:08	3	0.0500	1.1216718510731116	1.3975030183792114	0.8124	0.8388	0.8254
13	16:01:14	0	0.0250	1.0900568003421063	1.4412418603897095	0.8078	0.8394	0.8233
14	16:02:21	0	0.0250	1.068397275634579	1.3966130018234253	0.8192	0.8466	0.8327
15	16:03:26	0	0.0250	1.0375666874688823	1.4275118112564087	0.8194	0.8476	0.8333
16	16:04:32	0	0.0250	1.1160384758369073	1.4023702144622803	0.8167	0.841	0.8287
17	16:05:39	1	0.0250	1.0513798106800427	1.4521660804748535	0.8076	0.8357	0.8214
18	16:06:46	2	0.0250	1.0441069894737296	1.3712784051895142	0.8237	0.8454	0.8344
19	16:07:52	3	0.0250	1.0097346224568107	1.4001654386520386	0.8205	0.8438	0.832
20	16:08:58	0	0.0250	1.0299723360921953	1.4802056550979614	0.8024	0.8335	0.8177
21	16:10:03	1	0.0250	1.0822917239649312	1.5461952686309814	0.7958	0.8354	0.8151
22	16:11:08	2	0.0250	1.0602150903298304	1.4995478391647339	0.8016	0.8335	0.8172
23	16:12:15	3	0.0250	1.0409272442330848	1.5008080005645752	0.8027	0.8338	0.818
24	16:13:20	0	0.0125	1.0257071977728731	1.5043238401412964	0.803	0.8341	0.8183
25	16:14:26	1	0.0125	0.9906965241982386	1.4958642721176147	0.8019	0.8338	0.8175
26	16:15:32	0	0.0125	0.9830432042375311	1.4935142993927002	0.8025	0.8341	0.818
27	16:16:37	0	0.0125	1.0218679333900238	1.4797855615615845	0.8069	0.8369	0.8216
28	16:17:43	1	0.0125	1.011172262938706	1.518630862236023	0.8018	0.8382	0.8196
