EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	08:47:26	0	0.1000	1.1195542599803718	1.5444523096084595	0.7956	0.8272	0.8111
1	08:48:26	0	0.1000	1.152799756489983	1.643782138824463	0.7853	0.8185	0.8016
2	08:49:26	1	0.1000	1.1295244869335677	1.575372576713562	0.7984	0.8282	0.813
3	08:50:28	2	0.1000	1.1427717134934063	1.4756847620010376	0.8088	0.8326	0.8205
4	08:51:28	3	0.1000	1.1054151529489562	1.6299254894256592	0.7894	0.8294	0.8089
5	08:52:29	0	0.1000	1.1237516793631768	1.6871349811553955	0.7772	0.8191	0.7976
6	08:53:29	1	0.1000	1.1524127948191738	1.6514627933502197	0.787	0.8279	0.8069
7	08:54:30	2	0.1000	1.1187733501888986	1.7727407217025757	0.7798	0.826	0.8022
8	08:55:30	3	0.1000	1.09783261852671	1.6319013833999634	0.8028	0.8357	0.8189
9	08:56:30	0	0.1000	1.1189923716145893	1.8429023027420044	0.7712	0.8166	0.7933
10	08:57:31	1	0.1000	1.115838724975438	1.6182702779769897	0.805	0.8297	0.8172
11	08:58:30	2	0.1000	1.1241476803786994	1.731555700302124	0.7904	0.8272	0.8084
12	08:59:33	3	0.1000	1.060416764991228	1.905237078666687	0.7634	0.8138	0.7878
13	09:00:33	0	0.1000	1.127084466376046	1.7519952058792114	0.7891	0.8269	0.8076
14	09:01:34	1	0.1000	1.0089074114496395	1.681691288948059	0.7992	0.8257	0.8122
15	09:02:35	0	0.1000	1.0700860860966896	1.7318421602249146	0.7946	0.826	0.81
16	09:03:35	1	0.1000	1.088963933924372	1.7353875637054443	0.791	0.8266	0.8084
17	09:04:36	2	0.1000	1.0195976491122283	1.9529145956039429	0.7628	0.8141	0.7876
18	09:05:36	3	0.1000	1.0458942268245903	1.8252283334732056	0.7828	0.8188	0.8004
19	09:06:37	0	0.0500	1.0123588276463886	1.7116355895996094	0.7945	0.8304	0.8121
20	09:07:37	1	0.0500	1.068906070650086	1.720381259918213	0.7949	0.831	0.8125
21	09:08:37	2	0.0500	1.017241846221362	1.7620216608047485	0.7878	0.826	0.8064
22	09:09:37	3	0.0500	1.0442319396854371	1.9209758043289185	0.7655	0.8153	0.7896
23	09:10:39	0	0.0250	0.9555790207182714	1.7308428287506104	0.7971	0.8322	0.8143
24	09:11:39	0	0.0250	0.9210131274637325	1.7745707035064697	0.7913	0.8269	0.8087
25	09:12:41	0	0.0250	0.9822375815968181	1.7984529733657837	0.7886	0.8279	0.8078
26	09:13:40	1	0.0250	0.9434738214625868	1.8439216613769531	0.7846	0.8244	0.804
27	09:14:41	2	0.0250	1.0102837443813797	1.7584929466247559	0.7943	0.8291	0.8113
28	09:15:41	3	0.0250	0.9627953643022582	1.8450833559036255	0.7828	0.8244	0.8031
29	09:16:41	0	0.0125	0.8993213024250296	1.8145382404327393	0.7879	0.8257	0.8064
30	09:17:41	0	0.0125	1.022334600141806	1.80813729763031	0.7859	0.826	0.8055
31	09:18:43	1	0.0125	0.8640015804490377	1.7423453330993652	0.7962	0.83	0.8127
32	09:19:42	0	0.0125	0.8669523623331573	1.7994474172592163	0.7895	0.8263	0.8075
33	09:20:43	1	0.0125	0.9245589038198309	1.8233808279037476	0.7878	0.8263	0.8066
34	09:21:43	2	0.0125	0.9233075701451117	1.7854338884353638	0.7931	0.8279	0.8101
35	09:22:43	3	0.0125	0.9693623929060706	1.8101848363876343	0.7896	0.8269	0.8078
36	09:23:43	0	0.0063	0.8963712915893673	1.8199563026428223	0.789	0.8263	0.8072
37	09:24:44	1	0.0063	0.9381214971690215	1.83305823802948	0.7874	0.8266	0.8065
38	09:25:44	2	0.0063	0.8881143317666165	1.8269294500350952	0.7878	0.8263	0.8066
39	09:26:44	3	0.0063	0.8584342962491882	1.8443481922149658	0.7857	0.825	0.8049
40	09:27:44	0	0.0063	0.884553285994271	1.8271607160568237	0.7892	0.8272	0.8078
41	09:28:43	1	0.0063	0.8859836777975393	1.826216220855713	0.7873	0.8238	0.8051
42	09:29:45	2	0.0063	0.9479773636012114	1.8479896783828735	0.7827	0.8228	0.8022
43	09:30:45	3	0.0063	0.9119059369545575	1.8189672231674194	0.7875	0.826	0.8063
44	09:31:47	0	0.0031	0.8965430329012316	1.807671308517456	0.7905	0.8279	0.8088
45	09:32:46	1	0.0031	0.8679990732623625	1.816275954246521	0.7888	0.8266	0.8073
46	09:33:47	2	0.0031	0.9623466628466466	1.8403451442718506	0.7843	0.8241	0.8037
47	09:34:47	3	0.0031	0.9031551025172536	1.8201810121536255	0.7889	0.8269	0.8075
48	09:35:49	0	0.0016	0.8954847096934799	1.829485297203064	0.7878	0.8263	0.8066
49	09:36:48	1	0.0016	0.8536642216896826	1.820358395576477	0.7901	0.8272	0.8082
50	09:37:49	0	0.0016	0.8672500400580176	1.8266968727111816	0.7888	0.8266	0.8073
51	09:38:49	1	0.0016	0.9621660547663075	1.8386350870132446	0.7869	0.8263	0.8061
52	09:39:49	2	0.0016	0.8974296064801919	1.8267000913619995	0.7888	0.8266	0.8073
